v1,v1_ref,v2,v2_ref
1.303350977850494e-21,0,-6.647801319005452e-22,0
1.303658764229123e-21,0,-6.653658476318277e-22,0
1.3033513479889171e-21,0,-6.6481102850597615e-22,0
1.3036583937896727e-21,0,-6.6532845928695e-22,0
1.3033512341865772e-21,0,-6.647812668484199e-22,0
1.3036588299478437e-21,0,-6.653648934931374e-22,0
1.3033515747202043e-21,0,-6.648112902220904e-22,0
1.3036585271713373e-21,0,-6.653255887580026e-22,0
1.3033512466523839e-21,0,-6.647792513902043e-22,0
1.3036590365300703e-21,0,-6.653650459807564e-22,0
1.303351645020709e-21,0,-6.648101583577349e-22,0
1.3036586764537867e-21,0,-6.653277354111788e-22,0
1.303351512788425e-21,0,-6.6478062863294335e-22,0
1.3036591093861285e-21,0,-6.653643135418038e-22,0
1.3033518567178364e-21,0,-6.648107230084879e-22,0
1.3036586841406632e-21,0,-6.653270179990565e-22,0
1.303351505844074e-21,0,-6.647784872396526e-22,0
1.3036592976713537e-21,0,-6.653643747947136e-22,0
1.3033518829127393e-21,0,-6.648096863533192e-22,0
1.3036588178589116e-21,0,-6.653293240288995e-22,0
1.3033516422904538e-21,0,-6.647820723197957e-22,0
1.3036593483203736e-21,0,-6.653636233374326e-22,0
1.3033520959419313e-21,0,-6.648101419379188e-22,0
1.3036589181003148e-21,0,-6.6532645431826705e-22,0
1.3033516252499767e-21,0,-6.647800049295278e-22,0
1.3036594034986036e-21,0,-6.65365771373033e-22,0
1.3033521021403518e-21,0,-6.648090047257499e-22,0
1.3036590380630985e-21,0,-6.6532872831873e-22,0
1.3033518621531974e-21,0,-6.647814981090018e-22,0
1.3036594479726811e-21,0,-6.653650836656814e-22,0
1.3033521811336526e-21,0,-6.64811468152225e-22,0
1.3036591226247928e-21,0,-6.653257428908272e-22,0
1.3033518312597826e-21,0,-6.647793865768275e-22,0
1.3036596118532717e-21,0,-6.653651741519677e-22,0
1.3033521877867684e-21,0,-6.648103990693167e-22,0
1.3036592234929142e-21,0,-6.653279291030863e-22,0
1.3033520554205075e-21,0,-6.647808012606718e-22,0
1.3036596411042147e-21,0,-6.653644599725421e-22,0
1.3033523788809321e-21,0,-6.648108517808899e-22,0
1.303659191584037e-21,0,-6.653271223308976e-22,0
1.3033519116344517e-21,0,-6.647857610213106e-22,0
1.303659456016607e-21,0,-6.653700686418675e-22,0
1.3033519312816078e-21,0,-6.648150327002343e-22,0
1.3036587059254978e-21,0,-6.653354686673388e-22,0
1.3033513138855006e-21,0,-6.647874648727461e-22,0
1.3036589255986714e-21,0,-6.653724890322964e-22,0
1.3033514852067163e-21,0,-6.648168810742121e-22,0
1.3036581947868018e-21,0,-6.653373697611407e-22,0
