q1,q1_ref,q2,q2_ref
-2.1728070009885414e-08,0,1.2717951136664851e-09,0
-2.1464217958566678e-08,0,1.2563514673047393e-09,0
-2.120357045498622e-08,0,1.2410943384111306e-09,0
-2.0946087531115154e-08,0,1.2260237269856589e-09,0
-2.0691731883459852e-08,0,1.2111360803146454e-09,0
-2.0440464432169847e-08,0,1.1964278456844113e-09,0
-2.0192248761929932e-08,0,1.181900799451796e-09,0
-1.994704756924648e-08,0,1.167547836189442e-09,0
-1.970482266244744e-08,0,1.1533707322541886e-09,0
-1.946554029075287e-08,0,1.1393641585755176e-09,0
-1.9229163150669137e-08,0,1.125528115153429e-09,0
-1.8995656603237876e-08,0,1.1118608256310836e-09,0
-1.8764986009500717e-08,0,1.0983587372948023e-09,0
-1.8537115842320873e-08,0,1.0850200737877458e-09,0
-1.8312013239096814e-08,0,1.0718466114667535e-09,0
-1.8089643560870172e-08,0,1.0588294685476285e-09,0
-1.786997483321784e-08,0,1.0459721977440495e-09,0
-1.7652973305359865e-08,0,1.0332694699854983e-09,0
-1.743860700287314e-08,0,1.0207230616288143e-09,0
-1.722684306315614e-08,0,1.0083276436034794e-09,0
-1.7017651288142588e-08,0,9.960832159094934e-10,0
-1.68110005915878e-08,0,9.839880021900171e-10,0
-1.6606858110890244e-08,0,9.720384497313717e-10,0
-1.640519542434049e-08,0,9.60234558533557e-10,0
-1.620598144569385e-08,0,9.485745522397337e-10,0
-1.6009185976884055e-08,0,9.370566544930625e-10,0
-1.5814780596201672e-08,0,9.256773125798645e-10,0
-1.5622735993758852e-08,0,9.144365265001397e-10,0
-1.5433023747846164e-08,0,9.033325198970488e-10,0
-1.524561454857576e-08,0,8.923617400569128e-10,0
-1.5060481750595045e-08,0,8.815259633365713e-10,0
-1.4877596932194592e-08,0,8.70819860665506e-10,0
-1.469693344802181e-08,0,8.602469847573957e-10,0
-1.4518462876367266e-08,0,8.498002301848828e-10,0
-1.4342160348235211e-08,0,8.394795969479674e-10,0
-1.4167998330094633e-08,0,8.292868614034887e-10,0
-1.3995951064771361e-08,0,8.192166944809287e-10,0
-1.3825993683269644e-08,0,8.092690961802873e-10,0
-1.365809954023689e-08,0,7.994405137878857e-10,0
-1.3492243766677348e-08,0,7.897327236605634e-10,0
-1.3328403269952105e-08,0,7.801439494414808e-10,0
-1.316655140470857e-08,0,7.706688620601199e-10,0
-1.3006665078307833e-08,0,7.613110142301593e-10,0
-1.284872030993256e-08,0,7.520668532379204e-10,0
-1.2692694006943839e-08,0,7.429328263697244e-10,0
-1.2538562188524338e-08,0,7.339124863392499e-10,0
-1.2386301762035146e-08,0,7.249987277191394e-10,0
-1.2235890523015769e-08,0,7.161968795799112e-10,0
-1.2087305378827295e-08,0,7.074998364942076e-10,0
-1.1940525013187653e-08,0,6.989075984620285e-10,0
-1.1795527221636348e-08,0,6.904201654833741e-10,0
-1.165228979971289e-08,0,6.82035761201405e-10,0
-1.1510792319313623e-08,0,6.73754385616121e-10,0
-1.1371012575978057e-08,0,6.655724860138434e-10,0
-1.1232930141602537e-08,0,6.574900623945723e-10,0
-1.1096524588083412e-08,0,6.495071147583076e-10,0
-1.0961775487317027e-08,0,6.416183140345311e-10,0
-1.082866241119973e-08,0,6.338272129369216e-10,0
-1.0697166707984707e-08,0,6.261302587518003e-10,0
-1.0567267061389884e-08,0,6.185274514791672e-10,0
-1.043894481966845e-08,0,6.11017014762183e-10,0
-1.0312181331073589e-08,0,6.035953958871687e-10,0
-1.0186956167501648e-08,0,5.962661475678033e-10,0
-1.0063252453562654e-08,0,5.890257170904079e-10,0
-9.941050649331373e-09,0,5.818741044549824e-10,0
-9.820332991239411e-09,0,5.748077569478482e-10,0
-9.701081715718374e-09,0,5.678284509258447e-10,0
-9.583277282843028e-09,0,5.609308573184535e-10,0
-9.466904593580239e-09,0,5.541203051961929e-10,0
